model,host,size,kind,name,samples,ms
legacy32k,44100,1,tap,R_APF2_T,201,4.55782
legacy32k,44100,1,tap,R_DELAY2_T,1146,25.9864
legacy32k,44100,2,delay,leftApf1,2890.23,65.538
legacy32k,44100,2,delay,leftDelay1,19152,434.287
legacy32k,44100,2,delay,leftApf2,7741.68,175.548
legacy32k,44100,2,delay,leftDelay2,15999.5,362.8
legacy32k,44100,2,delay,rightApf1,3905.25,88.5543
legacy32k,44100,2,delay,rightDelay1,18137,411.27
legacy32k,44100,2,delay,rightApf2,11423.3,259.031
legacy32k,44100,2,delay,rightDelay2,13603.8,308.477
legacy32k,44100,2,delay,inApf1,208.935,4.73774
legacy32k,44100,2,delay,inApf2,158.553,3.59531
legacy32k,44100,2,delay,inApf3,561.604,12.7348
legacy32k,44100,2,delay,inApf4,410.46,9.30748
legacy32k,44100,2,tap,L_DELAY1_T1,286,6.48526
legacy32k,44100,2,tap,L_DELAY1_T2,3197,72.4943
legacy32k,44100,2,tap,L_APF2_T,2056,46.6213
legacy32k,44100,2,tap,L_DELAY2_T,2146,48.6621
legacy32k,44100,2,tap,R_DELAY1_T,2139,48.5034
legacy32k,44100,2,tap,R_APF2_T,201,4.55782
legacy32k,44100,2,tap,R_DELAY2_T,1146,25.9864
legacy32k,48000,0,delay,leftApf1,722.556,15.0533
legacy32k,48000,0,delay,leftDelay1,4788.01,99.7502
legacy32k,48000,0,delay,leftApf2,1935.42,40.3212
legacy32k,48000,0,delay,leftDelay2,3999.87,83.3305
legacy32k,48000,0,delay,rightApf1,976.311,20.3398
legacy32k,48000,0,delay,rightDelay1,4534.26,94.4637
legacy32k,48000,0,delay,rightApf2,2855.82,59.4962
legacy32k,48000,0,delay,rightDelay2,3400.96,70.8534
legacy32k,48000,0,delay,inApf1,227.412,4.73774
legacy32k,48000,0,delay,inApf2,172.575,3.59531
legacy32k,48000,0,delay,inApf3,611.27,12.7348
legacy32k,48000,0,delay,inApf4,446.759,9.30748
legacy32k,48000,0,tap,L_DELAY1_T1,286,5.95833
legacy32k,48000,0,tap,L_DELAY1_T2,3197,66.6042
legacy32k,48000,0,tap,L_APF2_T,2056,42.8333
legacy32k,48000,0,tap,L_DELAY2_T,2146,44.7083
legacy32k,48000,0,tap,R_DELAY1_T,2139,44.5625
legacy32k,48000,0,tap,R_APF2_T,201,4.1875
legacy32k,48000,0,tap,R_DELAY2_T,1146,23.875
legacy32k,48000,1,delay,leftApf1,1445.11,30.1065
legacy32k,48000,1,delay,leftDelay1,9576.02,199.5
legacy32k,48000,1,delay,leftApf2,3870.84,80.6425
legacy32k,48000,1,delay,leftDelay2,7999.73,166.661
legacy32k,48000,1,delay,rightApf1,1952.62,40.6796
legacy32k,48000,1,delay,rightDelay1,9068.51,188.927
legacy32k,48000,1,delay,rightApf2,5711.64,118.992
legacy32k,48000,1,delay,rightDelay2,6801.92,141.707
legacy32k,48000,1,delay,inApf1,227.412,4.73774
legacy32k,48000,1,delay,inApf2,172.575,3.59531
legacy32k,48000,1,delay,inApf3,611.27,12.7348
