model,host,size,decay,onset_ms,density_0_50,density_0_100,density_100_500,crest,rms_tail,peak,rt20,rt30,rt60,centroid_hz,energy_db
legacy32k,96000,1,0.877465,0,1520,1250,1215,25.4018,0.00275882,0.0922028,6.02966,5.95794,5.95794,11287.4,5.67432
legacy32k,96000,1,0.95,0,1520,1250,1367.5,18.7122,0.00406987,0.0922028,8.58925,6.05054,6.05054,11312,8.47967
legacy32k,96000,2,0.5,0,1460,1180,452.5,33.9259,0.00123589,0.0922028,2.83781,2.83831,2.83831,8970.29,1.11762
legacy32k,96000,2,0.877465,0,1460,1180,942.5,25.6989,0.00285624,0.0922028,8.62187,6.2739,6.2739,8992.54,5.77033
legacy32k,96000,2,0.95,0,1460,1180,1032.5,20.1027,0.00395477,0.0922028,7.26937,4.93615,4.93615,8997.82,8.18048
legacy32k,192000,0,0.5,0,1960,1400,40,42.1804,0.000310787,0.0698421,0.360625,0.364729,0.364729,14673.4,-0.301563
legacy32k,192000,0,0.877465,0,1960,1550,722.5,22.589,0.00138074,0.0698421,1.59517,1.65121,1.65121,14849.9,4.60264
legacy32k,192000,0,0.95,0,1980,1550,1470,16.2925,0.00237456,0.0698421,3.8502,4.04117,4.04117,14940.7,7.69079
legacy32k,192000,1,0.5,0,1900,1460,182.5,40.5055,0.00050128,0.0594404,0.709047,0.718177,0.718177,16569.2,-0.35982
legacy32k,192000,1,0.877465,0,1900,1490,1287.5,20.6099,0.00158563,0.0594404,3.14692,3.26722,3.26722,17138.1,4.47758
legacy32k,192000,1,0.95,0,1900,1490,1585,13.9848,0.00250471,0.0594404,7.3267,6.46854,6.46854,17241.7,7.5349
legacy32k,192000,2,0.5,0,1600,1360,397.5,40.0169,0.000654713,0.0594011,1.42966,1.44551,1.44551,22092.7,-0.292515
legacy32k,192000,2,0.877465,0,1600,1360,1350,25.702,0.00173667,0.0594011,6.16413,6.00041,6.00041,22304,4.58717
legacy32k,192000,2,0.95,0,1600,1360,1485,18.4762,0.0026076,0.0594011,8.46647,5.9413,5.9413,22330.5,7.56597
correct,32000,0,0.5,0,960,830,352.5,39.5791,0.0030061,0.183589,2.00053,2.04188,2.04188,5237.61,2.94521
correct,32000,0,0.877465,0,960,830,815,20.0911,0.00592196,0.183589,8.10187,6.59187,6.59187,5472.36,7.17602
correct,32000,0,0.95,0,960,830,870,15.1022,0.00811434,0.183589,8.20191,5.60712,5.60712,5494.14,9.5711
correct,32000,1,0.5,0,980,810,407.5,39.9686,0.00301997,0.154088,4.18575,4.15925,4.15925,4343.3,2.6676
